subjID,keycode
Ndim21b_q084_01_667,x442185152q08400x
Ndim21b_q084_02_152,x436424411q08410x
Ndim21b_q085_01_368,x442185152q08500x
Ndim21b_q085_02_971,x436424411q08510x
Ndim21b_q086_01_887,x442185152q08600x
Ndim21b_q086_02_375,x436424411q08610x
Ndim21b_q087_01_872,x442185152q08700x
Ndim21b_q087_02_379,x436424411q08710x
Ndim21b_q088_01_945,x442185152q08800x
Ndim21b_q088_02_769,x436424411q08810x
Ndim21b_q089_01_474,x442185152q08900x
Ndim21b_q089_02_327,x436424411q08910x
Ndim21b_q090_01_107,x442185152q09000x
Ndim21b_q090_02_890,x436424411q09010x
Ndim21b_q091_01_134,x442185152q09100x
Ndim21b_q091_02_837,x436424411q09110x
Ndim21b_q092_01_965,x442185152q09200x
Ndim21b_q092_02_613,x436424411q09210x
Ndim21b_q093_01_254,x442185152q09300x
Ndim21b_q093_02_881,x436424411q09310x
Ndim21b_q094_01_976,x442185152q09400x
Ndim21b_q094_02_733,x436424411q09410x
Ndim21b_q095_01_557,x442185152q09500x
Ndim21b_q095_02_440,x436424411q09510x
Ndim21b_q096_01_412,x442185152q09600x
Ndim21b_q096_02_285,x436424411q09610x
Ndim21b_q097_01_706,x442185152q09700x
Ndim21b_q097_02_489,x436424411q09710x
Ndim21b_q098_01_274,x442185152q09800x
Ndim21b_q098_02_193,x436424411q09810x
Ndim21b_q099_01_699,x442185152q09900x
Ndim21b_q099_02_366,x436424411q09910x
Ndim21b_q100_01_549,x442185152q10000x
Ndim21b_q100_02_392,x436424411q10010x
Ndim21b_q101_01_884,x442185152q10100x
Ndim21b_q101_02_909,x436424411q10110x
Ndim21b_q102_01_116,x442185152q10200x
Ndim21b_q102_02_280,x436424411q10210x
Ndim21b_q103_01_394,x442185152q10300x
Ndim21b_q103_02_988,x436424411q10310x
Ndim21b_q104_01_804,x442185152q10400x
Ndim21b_q104_02_405,x436424411q10410x
Ndim21b_q105_01_291,x442185152q10500x
Ndim21b_q105_02_707,x436424411q10510x
Ndim21b_q106_01_853,x442185152q10600x
Ndim21b_q106_02_938,x436424411q10610x
Ndim21b_q107_01_409,x442185152q10700x
Ndim21b_q107_02_894,x436424411q10710x
Ndim21b_q108_01_718,x442185152q10800x
Ndim21b_q108_02_536,x436424411q10810x
Ndim21b_q109_01_986,x442185152q10900x
Ndim21b_q109_02_311,x436424411q10910x
Ndim21b_q110_01_752,x442185152q11000x
Ndim21b_q110_02_176,x436424411q11010x
Ndim21b_q111_01_252,x442185152q11100x
Ndim21b_q111_02_919,x436424411q11110x
Ndim21b_q112_01_291,x442185152q11200x
Ndim21b_q112_02_783,x436424411q11210x
Ndim21b_q113_01_640,x442185152q11300x
Ndim21b_q113_02_857,x436424411q11310x
Ndim21b_q114_01_431,x442185152q11400x
Ndim21b_q114_02_406,x436424411q11410x
Ndim21b_q115_01_362,x442185152q11500x
Ndim21b_q115_02_880,x436424411q11510x
Ndim21b_q116_01_643,x442185152q11600x
Ndim21b_q116_02_958,x436424411q11610x
Ndim21b_q117_01_898,x442185152q11700x
Ndim21b_q117_02_221,x436424411q11710x
Ndim21b_q118_01_596,x442185152q11800x
Ndim21b_q118_02_193,x436424411q11810x
Ndim21b_q119_01_135,x442185152q11900x
Ndim21b_q119_02_165,x436424411q11910x
Ndim21b_q120_01_879,x442185152q12000x
Ndim21b_q120_02_809,x436424411q12010x
Ndim21b_q121_01_845,x442185152q12100x
Ndim21b_q121_02_406,x436424411q12110x
Ndim21b_q122_01_653,x442185152q12200x
Ndim21b_q122_02_803,x436424411q12210x
Ndim21b_q123_01_440,x442185152q12300x
Ndim21b_q123_02_613,x436424411q12310x
Ndim21b_q124_01_301,x442185152q12400x
Ndim21b_q124_02_173,x436424411q12410x
Ndim21b_q125_01_340,x442185152q12500x
Ndim21b_q125_02_901,x436424411q12510x
Ndim21b_q126_01_608,x442185152q12600x
Ndim21b_q126_02_932,x436424411q12610x
Ndim21b_q127_01_511,x442185152q12700x
Ndim21b_q127_02_349,x436424411q12710x
Ndim21b_q128_01_808,x442185152q12800x
Ndim21b_q128_02_844,x436424411q12810x
Ndim21b_q129_01_111,x442185152q12900x
Ndim21b_q129_02_703,x436424411q12910x
Ndim21b_q130_01_182,x442185152q13000x
Ndim21b_q130_02_203,x436424411q13010x
Ndim21b_q131_01_896,x442185152q13100x
Ndim21b_q131_02_136,x436424411q13110x
Ndim21b_q132_01_315,x442185152q13200x
Ndim21b_q132_02_989,x436424411q13210x
Ndim21b_q133_01_478,x442185152q13300x
Ndim21b_q133_02_204,x436424411q13310x
Ndim21b_q134_01_250,x442185152q13400x
Ndim21b_q134_02_317,x436424411q13410x
Ndim21b_q135_01_769,x442185152q13500x
Ndim21b_q135_02_192,x436424411q13510x
Ndim21b_q136_01_919,x442185152q13600x
Ndim21b_q136_02_440,x436424411q13610x
Ndim21b_q137_01_973,x442185152q13700x
Ndim21b_q137_02_918,x436424411q13710x
Ndim21b_q138_01_364,x442185152q13800x
Ndim21b_q138_02_328,x436424411q13810x
Ndim21b_q139_01_529,x442185152q13900x
Ndim21b_q139_02_190,x436424411q13910x
Ndim21b_q140_01_686,x442185152q14000x
Ndim21b_q140_02_135,x436424411q14010x
Ndim21b_q141_01_109,x442185152q14100x
Ndim21b_q141_02_984,x436424411q14110x
Ndim21b_q142_01_365,x442185152q14200x
Ndim21b_q142_02_636,x436424411q14210x
Ndim21b_q143_01_504,x442185152q14300x
Ndim21b_q143_02_381,x436424411q14310x
Ndim21b_q144_01_156,x442185152q14400x
Ndim21b_q144_02_922,x436424411q14410x
Ndim21b_q145_01_972,x442185152q14500x
Ndim21b_q145_02_972,x436424411q14510x
Ndim21b_q146_01_200,x442185152q14600x
Ndim21b_q146_02_293,x436424411q14610x
Ndim21b_q147_01_656,x442185152q14700x
Ndim21b_q147_02_981,x436424411q14710x
Ndim21b_q148_01_588,x442185152q14800x
Ndim21b_q148_02_719,x436424411q14810x
Ndim21b_q149_01_695,x442185152q14900x
Ndim21b_q149_02_333,x436424411q14910x
Ndim21b_q150_01_587,x442185152q15000x
Ndim21b_q150_02_376,x436424411q15010x
Ndim21b_q151_01_321,x442185152q15100x
Ndim21b_q151_02_173,x436424411q15110x
Ndim21b_q152_01_352,x442185152q15200x
Ndim21b_q152_02_985,x436424411q15210x
Ndim21b_q153_01_503,x442185152q15300x
Ndim21b_q153_02_686,x436424411q15310x
Ndim21b_q154_01_679,x442185152q15400x
Ndim21b_q154_02_946,x436424411q15410x
Ndim21b_q155_01_451,x442185152q15500x
Ndim21b_q155_02_376,x436424411q15510x
Ndim21b_q156_01_394,x442185152q15600x
Ndim21b_q156_02_385,x436424411q15610x
Ndim21b_q157_01_862,x442185152q15700x
Ndim21b_q157_02_904,x436424411q15710x
Ndim21b_q158_01_372,x442185152q15800x
Ndim21b_q158_02_400,x436424411q15810x
Ndim21b_q159_01_589,x442185152q15900x
Ndim21b_q159_02_621,x436424411q15910x
Ndim21b_q160_01_636,x442185152q16000x
Ndim21b_q160_02_320,x436424411q16010x
Ndim21b_q161_01_118,x442185152q16100x
Ndim21b_q161_02_319,x436424411q16110x
Ndim21b_q162_01_165,x442185152q16200x
Ndim21b_q162_02_596,x436424411q16210x
Ndim21b_q163_01_163,x442185152q16300x
Ndim21b_q163_02_167,x436424411q16310x
Ndim21b_q164_01_671,x442185152q16400x
Ndim21b_q164_02_361,x436424411q16410x
Ndim21b_q165_01_812,x442185152q16500x
Ndim21b_q165_02_543,x436424411q16510x
Ndim21b_q166_01_876,x442185152q16600x
Ndim21b_q166_02_238,x436424411q16610x
Ndim21b_q167_01_551,x442185152q16700x
Ndim21b_q167_02_815,x436424411q16710x
Ndim21b_q168_01_169,x442185152q16800x
Ndim21b_q168_02_954,x436424411q16810x
Ndim21b_q169_01_255,x442185152q16900x
Ndim21b_q169_02_798,x436424411q16910x
Ndim21b_q170_01_986,x442185152q17000x
Ndim21b_q170_02_839,x436424411q17010x
Ndim21b_q171_01_387,x442185152q17100x
Ndim21b_q171_02_196,x436424411q17110x
Ndim21b_q172_01_562,x442185152q17200x
Ndim21b_q172_02_927,x436424411q17210x
Ndim21b_q173_01_364,x442185152q17300x
Ndim21b_q173_02_904,x436424411q17310x
Ndim21b_q174_01_227,x442185152q17400x
Ndim21b_q174_02_919,x436424411q17410x
Ndim21b_q175_01_128,x442185152q17500x
Ndim21b_q175_02_384,x436424411q17510x
Ndim21b_q176_01_912,x442185152q17600x
Ndim21b_q176_02_823,x436424411q17610x
Ndim21b_q177_01_916,x442185152q17700x
Ndim21b_q177_02_856,x436424411q17710x
Ndim21b_q178_01_771,x442185152q17800x
Ndim21b_q178_02_720,x436424411q17810x
Ndim21b_q179_01_260,x442185152q17900x
Ndim21b_q179_02_489,x436424411q17910x
Ndim21b_q180_01_242,x442185152q18000x
Ndim21b_q180_02_743,x436424411q18010x
Ndim21b_q181_01_701,x442185152q18100x
Ndim21b_q181_02_327,x436424411q18110x
Ndim21b_q182_01_157,x442185152q18200x
Ndim21b_q182_02_967,x436424411q18210x
Ndim21b_q183_01_827,x442185152q18300x
Ndim21b_q183_02_594,x436424411q18310x
Ndim21b_q184_01_587,x442185152q18400x
Ndim21b_q184_02_866,x436424411q18410x
Ndim21b_q185_01_507,x442185152q18500x
Ndim21b_q185_02_456,x436424411q18510x
Ndim21b_q186_01_404,x442185152q18600x
Ndim21b_q186_02_332,x436424411q18610x
Ndim21b_q187_01_121,x442185152q18700x
Ndim21b_q187_02_681,x436424411q18710x
Ndim21b_q188_01_475,x442185152q18800x
Ndim21b_q188_02_613,x436424411q18810x
Ndim21b_q189_01_156,x442185152q18900x
Ndim21b_q189_02_419,x436424411q18910x
Ndim21b_q190_01_224,x442185152q19000x
Ndim21b_q190_02_212,x436424411q19010x
Ndim21b_q191_01_333,x442185152q19100x
Ndim21b_q191_02_846,x436424411q19110x
Ndim21b_q192_01_458,x442185152q19200x
Ndim21b_q192_02_460,x436424411q19210x
Ndim21b_q193_01_651,x442185152q19300x
Ndim21b_q193_02_310,x436424411q19310x
Ndim21b_q194_01_106,x442185152q19400x
Ndim21b_q194_02_575,x436424411q19410x
Ndim21b_q195_01_550,x442185152q19500x
Ndim21b_q195_02_683,x436424411q19510x
Ndim21b_q196_01_494,x442185152q19600x
Ndim21b_q196_02_717,x436424411q19610x
Ndim21b_q197_01_758,x442185152q19700x
Ndim21b_q197_02_314,x436424411q19710x
Ndim21b_q198_01_545,x442185152q19800x
Ndim21b_q198_02_530,x436424411q19810x
Ndim21b_q199_01_302,x442185152q19900x
Ndim21b_q199_02_471,x436424411q19910x
Ndim21b_q200_01_604,x442185152q20000x
Ndim21b_q200_02_916,x436424411q20010x
